	BrM1	BrM2	BrM3	BrM4	BrM5	BrM6	BrM7	BrM8	BrM9	BrM10	LT1	LT2	LT3	LT4	LT5	LT6	LT7	LT8	LT9	LT10
MAPK78018	101	59	25	24	15	25	7	3	2	2	10	5	6	14	3	8	17	6	4	19
SLC38417	25	33	64	45	75	73	67	12	5	89	10	5	11	14	13	9	25	6	2	12
IL44615	19	18	43	13	12	8	14	9	15	25	2	3	3	3	5	22	13	2	8	7
MYC90188	142	129	35	238	24	38	104	150	120	50	40	38	15	7	37	11	40	6	20	18
TP12854	10	4	5	1	4	8	4	4	7	10	2	0	0	0	3	1	1	0	3	0
ZNF28098	24	9	9	28	13	13	2	11	21	41	5	2	10	2	16	7	7	15	5	5
MAPK98988	29	36	3	19	18	22	21	20	61	39	2	6	3	1	0	2	1	6	3	1
MT47143	387	711	57	555	495	336	393	88	169	211	59	58	12	35	73	70	49	34	28	59
MT37733	46	56	58	14	60	22	96	92	23	98	18	7	17	6	17	13	70	20	21	10
CD53021	103	92	53	100	38	220	147	12	64	91	35	69	21	63	7	23	21	26	22	33
HLA85154	21	7	7	22	4	25	4	12	28	12	4	7	5	2	4	1	3	6	6	3
TP13761	37	56	9	19	44	6	53	57	49	87	12	22	2	0	4	10	13	4	13	8
MT58606	94	59	107	288	52	286	457	102	50	240	30	62	21	40	25	27	10	54	16	9
BRCA24747	39	50	64	117	27	90	51	64	63	20	16	44	18	39	15	5	38	22	10	19
CXCL5657	29	23	81	29	66	29	5	34	98	56	26	6	11	16	25	22	30	20	7	13
MT9562	159	22	49	59	7	66	30	46	63	51	10	0	8	3	3	9	6	10	8	12
CD56398	16	7	64	8	15	26	24	19	33	41	5	3	9	7	2	4	7	3	6	7
BRCA95743	47	121	60	38	29	90	215	55	51	52	5	10	7	14	11	7	31	11	38	15
TP60258	61	89	79	40	32	25	25	23	74	65	17	8	5	9	2	4	15	13	0	1
CD77804	83	24	30	25	22	57	29	65	81	26	10	8	13	9	9	2	2	9	5	3
MAPK73762	43	8	24	39	6	11	20	17	31	15	5	5	6	6	19	4	7	3	0	12
ZNF74278	4	19	2	6	3	1	7	11	6	3	2	1	2	0	0	2	0	0	1	1
MAPK83686	66	11	52	25	34	19	54	48	55	32	3	15	4	23	7	5	4	5	2	17
MYC36909	31	16	67	95	25	27	48	173	32	131	15	10	7	14	12	15	12	3	4	5
TP38693	5	15	18	16	5	56	17	13	49	14	23	18	12	10	15	5	6	9	7	4
TP57670	16	0	16	28	11	29	14	41	9	6	1	1	2	2	1	17	15	5	13	6
CD96027	57	86	68	146	78	152	89	89	390	125	21	40	38	54	26	63	56	28	5	86
HLA91904	6	11	1	0	12	20	21	6	7	2	1	0	3	5	1	1	1	1	1	3
ZNF42199	105	53	140	59	59	146	130	80	41	93	18	10	10	20	39	3	22	28	42	58
IL36497	67	64	180	83	39	248	71	39	88	27	24	29	17	32	17	26	47	12	10	8
SLC5740	44	58	6	46	28	13	29	21	57	31	19	18	10	23	20	21	8	24	15	7
IL32597	25	19	27	94	41	4	56	64	86	57	4	15	10	8	18	9	2	7	5	9
CD5051	35	25	10	7	19	35	15	9	23	12	8	9	5	2	7	5	9	3	7	6
CD22532	87	23	14	53	117	20	51	24	12	37	27	22	8	18	18	6	16	16	5	16
MYC77499	53	50	78	5	27	9	6	43	41	68	8	19	26	0	16	21	13	10	19	6
HLA66487	49	119	23	89	6	112	173	87	40	56	24	11	39	14	13	15	39	13	4	65
HLA76229	179	311	299	341	117	51	111	242	66	215	53	32	33	52	19	30	63	44	66	93
BRCA18768	107	40	21	36	110	60	73	40	143	39	3	11	17	15	12	21	11	30	2	6
CD30591	79	77	105	39	60	40	69	23	102	28	21	11	18	26	15	16	44	40	5	5
MT57134	227	462	251	84	24	218	248	285	283	19	66	41	58	80	79	35	98	33	72	13
SLC79772	6	40	34	28	14	6	39	31	11	37	11	5	2	2	7	1	5	7	5	15
EGFR5922	28	6	35	108	81	137	54	25	32	12	44	4	11	25	11	9	7	13	20	26
MAPK28055	38	17	53	26	26	15	65	23	47	63	7	5	10	9	15	8	0	9	6	14
SLC57275	30	7	12	16	6	11	7	2	2	2	0	1	1	1	1	2	3	4	2	9
MAPK80202	64	31	23	23	16	17	7	9	6	11	6	7	7	2	9	5	8	3	3	13
MAPK57112	108	25	29	49	42	53	47	86	64	49	36	32	20	34	24	23	19	16	23	27
EGFR5614	149	67	29	62	62	31	159	82	91	37	16	4	3	9	17	3	9	31	20	21
MAPK11956	68	33	32	27	40	73	24	18	3	17	0	10	16	22	16	1	20	4	1	9
TNF322	17	48	20	6	9	7	30	1	15	16	2	5	4	6	5	1	1	2	5	1
IL42445	77	28	34	11	52	38	51	20	30	74	15	12	19	6	25	1	10	19	44	6
EGFR54335	43	10	29	7	23	18	39	10	28	26	3	6	5	10	2	3	7	13	3	6
ZNF881	48	67	101	14	26	52	185	36	75	47	8	26	34	7	11	9	16	15	12	21
HLA77247	47	18	3	26	32	44	8	23	48	16	7	3	2	8	18	13	11	5	22	13
HLA16345	14	3	10	26	9	23	32	34	12	24	3	6	4	4	2	6	3	10	3	5
BRCA22922	104	170	323	42	66	251	140	172	75	106	17	37	68	62	18	24	17	20	36	47
CD30575	7	16	2	5	26	11	12	25	38	25	5	1	6	0	3	8	7	0	2	2
MT76450	132	234	132	125	175	61	72	256	202	129	35	26	19	66	60	91	50	11	42	46
MYC39571	12	35	10	7	12	70	23	61	11	14	2	5	2	5	14	0	6	3	10	4
KRT46697	23	9	41	27	7	12	23	15	16	2	10	3	1	0	3	2	2	4	10	8
SLC71222	50	29	48	18	12	70	153	15	27	59	8	0	4	1	0	6	14	24	12	7
TNF32649	4	8	4	11	5	4	0	6	10	1	2	2	0	2	2	0	3	0	5	1
SLC62547	15	25	4	6	25	11	7	20	18	13	12	1	5	8	6	2	5	1	5	1
TNF8596	27	2	8	36	55	34	32	61	11	8	5	7	10	3	5	8	3	16	6	4
HLA40492	20	60	4	34	15	37	19	24	5	25	20	5	0	4	5	7	8	5	11	9
MAPK39478	21	37	36	22	17	17	9	13	19	23	4	5	7	6	2	12	2	10	7	3
MYC68844	83	154	70	168	149	228	121	176	132	100	13	89	53	87	52	16	29	20	77	17
MT51798	608	488	302	1143	554	737	1852	410	525	396	74	103	138	205	27	84	119	52	207	59
MT79693	89	44	26	25	115	98	89	52	26	30	5	14	5	5	29	8	2	6	23	13
KRT16806	21	30	22	69	23	12	47	2	42	31	2	6	6	0	0	5	3	7	0	14
HLA38487	4	11	18	14	8	28	11	14	12	8	4	3	2	6	1	0	3	3	5	1
MT80013	188	353	292	298	239	42	114	310	486	314	41	50	114	91	135	75	109	116	160	75
SLC95932	35	35	65	75	92	12	35	7	7	39	19	10	38	2	8	18	30	22	3	30
CXCL84984	85	50	185	136	105	69	120	246	108	200	41	98	30	32	16	57	25	23	68	20
BRCA62374	4	7	4	2	7	8	3	4	2	5	3	1	0	0	3	2	0	0	0	2
GPR11703	12	15	96	14	39	57	36	22	34	10	17	10	9	6	2	13	6	7	4	6
MYC44554	248	35	62	57	144	132	43	72	57	85	40	13	16	49	33	90	25	23	26	4
CD65392	15	74	102	54	251	123	126	121	101	110	19	24	19	16	16	19	29	38	3	11
GPR22212	22	7	6	24	24	9	47	6	30	18	7	3	1	4	6	21	3	1	6	5
ZNF68166	5	26	12	8	50	41	13	15	17	4	12	3	3	8	10	4	2	4	0	1
EGFR19313	32	7	15	15	20	28	24	30	10	50	10	6	5	1	3	4	1	3	1	9
EGFR8633	38	19	12	17	36	8	16	15	45	18	3	4	3	8	0	6	4	10	3	1
KRT90243	45	66	32	63	33	44	18	45	49	34	23	2	37	28	11	18	6	31	0	17
ZNF84927	6	14	1	4	8	3	5	6	8	3	4	0	0	1	0	2	1	5	1	1
TNF13703	9	8	24	8	10	19	6	11	9	2	10	7	1	6	1	3	2	2	1	0
KRT48328	5	29	29	3	15	25	11	11	17	3	51	94	91	71	40	55	165	81	27	39
CXCL9001	42	130	89	58	35	137	47	37	25	121	342	435	517	82	228	335	122	945	326	96
IL44343	3	10	6	5	4	3	12	5	11	19	44	21	28	9	12	17	11	10	43	33
EGFR77273	107	54	61	59	111	26	78	117	103	65	144	346	232	256	223	227	300	425	293	725
KRT37309	5	2	3	2	1	1	1	4	0	1	6	8	12	8	16	15	6	0	4	5
TP46718	13	27	44	22	54	28	72	24	54	29	303	82	66	30	265	92	51	161	84	101
HLA62569	2	1	9	14	13	7	7	15	11	6	26	32	57	29	26	21	34	37	9	57
CD45478	70	35	23	112	31	118	21	53	37	20	221	424	340	314	363	253	489	193	276	286
MT22146	5	1	2	5	4	9	8	3	3	6	6	14	4	15	5	5	18	7	5	14
TP19395	16	7	7	17	8	9	17	10	3	1	67	51	37	38	39	134	35	39	93	15
MAPK39557	12	1	5	5	7	3	5	1	7	4	4	41	21	36	17	20	35	4	15	23
MYC21529	1	6	5	8	2	6	2	6	7	5	14	7	25	23	18	32	24	19	13	22
TNF40946	2	5	2	0	0	1	1	6	15	1	17	21	42	30	82	31	31	46	22	6
IL38669	15	14	23	8	17	30	13	4	3	7	11	39	30	47	127	37	28	43	14	43
MT36876	13	20	27	21	13	27	16	5	20	16	71	87	133	150	141	28	154	228	70	205
TP33851	4	18	11	7	48	14	3	32	3	40	10	55	63	134	63	36	152	45	21	109
IL60993	14	14	32	13	10	32	18	11	15	13	73	28	69	77	241	56	77	43	49	40
ZNF59194	15	25	31	17	80	21	49	36	9	17	58	50	239	100	28	32	149	151	10	117
BRCA26086	7	24	33	9	50	12	33	28	15	16	116	199	152	51	113	193	47	262	115	48
EGFR73675	13	5	4	11	6	10	6	2	10	5	12	20	16	27	59	43	74	24	2	27
ZNF47352	3	1	2	0	2	5	1	2	0	2	0	5	4	7	3	11	24	3	0	12
MYC71304	24	119	13	11	24	75	73	69	40	41	176	148	421	248	64	117	190	215	117	122
CXCL69630	45	52	14	37	21	21	34	35	10	5	134	90	85	154	77	86	237	315	148	115
CXCL63899	8	4	14	9	7	3	56	8	20	31	54	51	66	64	81	91	10	116	71	18
TNF96412	5	5	7	2	1	2	7	6	7	3	0	27	18	6	7	6	13	7	8	1
CD16288	2	20	7	3	2	10	27	10	20	26	45	96	40	15	91	49	88	39	43	42
MT3610	2	10	2	10	1	3	1	2	5	10	18	0	11	23	26	34	34	22	19	24
KRT43298	8	5	3	4	4	7	2	1	1	0	29	18	8	2	5	15	5	34	30	7
EGFR4251	23	17	14	2	4	19	17	4	21	17	105	43	158	82	75	61	59	57	30	103
KRT27645	11	3	6	6	6	8	9	4	4	6	8	9	5	9	6	50	14	38	26	52
EGFR53418	18	17	27	3	11	10	10	32	31	7	26	63	75	49	97	14	52	14	54	13
SLC11277	47	33	15	14	22	9	2	26	5	7	17	94	10	103	84	26	60	48	31	30
IL83153	30	10	9	9	9	26	9	27	10	7	32	78	98	161	55	51	84	53	67	204
GPR43969	16	3	18	10	10	12	5	44	0	20	118	20	65	14	137	80	58	100	46	98
TP39095	36	20	4	17	54	23	8	40	6	40	62	203	77	222	167	30	27	211	38	156
EGFR3035	19	11	24	18	14	16	0	5	7	24	56	99	15	34	35	7	50	43	46	52
BRCA56533	10	22	22	12	36	15	71	32	22	40	129	228	83	163	56	82	62	114	262	61
IL73563	19	12	26	12	15	20	15	12	21	21	26	70	101	53	53	75	58	22	141	103
MT31855	40	0	10	73	25	8	25	65	18	29	80	180	40	109	12	89	94	73	96	22
MT24962	6	5	5	16	3	6	4	14	14	5	24	25	57	25	74	28	32	24	14	39
GPR2716	52	23	12	42	22	11	16	5	15	7	111	88	40	33	36	19	197	235	31	63
KRT67455	14	6	18	23	14	2	3	21	35	13	29	40	92	68	104	31	36	111	100	17
MT10385	31	19	19	3	47	42	56	145	22	16	16	33	88	131	54	190	47	135	87	101
ZNF72312	26	16	14	30	42	10	4	8	11	44	28	34	16	128	67	42	68	42	25	35
KRT94653	10	13	14	22	7	3	21	13	3	17	10	8	43	26	24	38	62	77	56	72
KRT84898	23	17	11	26	16	22	7	45	2	11	137	152	43	73	137	124	324	212	106	78
CD99520	11	2	3	10	6	3	3	8	3	7	27	34	19	11	21	16	29	17	52	6
IL41	0	20	16	7	16	9	20	7	14	9	7	4	9	31	9	57	36	13	71	47
TNF21613	78	30	77	26	32	21	37	28	7	26	97	67	203	176	216	105	77	203	77	206
MAPK29746	14	16	13	6	9	12	17	6	12	13	81	88	54	94	25	45	118	23	49	40
